Exercise Name,Category,Primary Muscle,Secondary Muscle,Equipment,Exercise Type,Movement Pattern,Priority Rating,Training Sessions,Last Weight,Last Sets/Reps,Notes
Barbell row,Back,Lats,"Rhomboids, Traps",Barbell,Compound,Horizontal Pull,Essential,3,20x2,,"15,10x2"
bench press,Chest,Pectorals,"Triceps, Front Delts",Barbell,Compound,Horizontal Push,Essential,3,35x2; 45x2,,try 40x2 next 
barbell RDL,Legs,Hamstrings,"Glutes, Lower Back",Barbell,Compound,Hip Hinge,Essential,3,25x2,3,
barbell back squat,Legs,Quads,"Glutes, Core",Barbell,Compound,Squat,Essential,3,,,
DB high pull,Shoulders,Traps,"Delts, Upper Back",Dumbbell,Compound,Olympic Pull,Essential,3,25x2,2,20x2
lat pulldown,Back,Lats,"Biceps, Rhomboids",Machine,Compound,Vertical Pull,Essential,2,"85, 100",,
pushups,Chest,Pectorals,"Triceps, Front Delts",Bodyweight,Compound,Horizontal Push,Essential,2,,,"barbell, 50"
banana boat,Core,Abs,"Lower Back, Hip Flexors",Bodyweight,Isometric,Anti-Extension,Essential,3,,,
single leg bridge - 3 variations,Legs,Glutes,"Hamstrings, Lower Back",Bodyweight,Isolation,Hip Extension,Essential,3,12,,no rest
vaulter pullups,Back,Lats,"Biceps, Core",Bodyweight,Compound,Vertical Pull,High Priority,2,30; 45,,
hollow body hold,Core,Abs,Hip Flexors,Bodyweight,Isometric,Anti-Extension,High Priority,2,,,
copenhagen adductor,Legs,Adductors,"Core, Obliques",Bodyweight,Isometric,Adduction,High Priority,2,1,,
leg press,Legs,Quads,"Glutes, Hamstrings",Machine,Compound,Squat,High Priority,2,45x6,,
diamond pushups,Arms,Triceps,"Chest, Front Delts",Bodyweight,Compound,Horizontal Push,High Priority,1,,,
assisted pullups,Back,Lats,"Biceps, Rhomboids",Bodyweight,Compound,Vertical Pull,High Priority,1,45,,previously 60lbs
inverted row,Back,Upper Back,"Biceps, Rear Delts",Bodyweight,Compound,Horizontal Pull,High Priority,1,,,
"pullup, 1-1-4",Back,Lats,"Biceps, Rhomboids",Bodyweight,Compound,Vertical Pull,High Priority,1,,,
pullups,Back,Lats,"Biceps, Rhomboids",Bodyweight,Compound,Vertical Pull,High Priority,1,,,
"wide pullups, 1-1-4-1",Back,Lats,"Biceps, Upper Back",Bodyweight,Compound,Vertical Pull,High Priority,1,30; ,,45
"bench press,",Chest,Pectorals,"Triceps, Front Delts",Barbell,Compound,Horizontal Push,High Priority,1,25x2,,35x2; 45x2; 35x2
"bench press, 1-1-4-1",Chest,Pectorals,"Triceps, Front Delts",Barbell,Compound,Horizontal Push,High Priority,1,35x2; 45x2; 35x2,,barbell 50
pushup,Chest,Pectorals,"Triceps, Front Delts",Bodyweight,Compound,Horizontal Push,High Priority,1,,,
"barbell back squat, low bar",Legs,Quads,"Glutes, Hamstrings",Barbell,Compound,Squat,High Priority,1,45x2,,
barbell squat,Legs,Quads,"Glutes, Core",Barbell,Compound,Squat,High Priority,1,35x2,3,
dead lift,Legs,Hamstrings,"Glutes, Back",Barbell,Compound,Hip Hinge,High Priority,1,,,
pistal squat,Legs,Quads,"Glutes, Balance",Bodyweight,Compound,Squat,High Priority,1,15,2,
single leg RDL,Legs,Hamstrings,"Glutes, Balance",Bodyweight,Compound,Hip Hinge,High Priority,1,35,,
barbell press,Shoulders,Shoulders,"Triceps, Upper Chest",Barbell,Compound,Vertical Push,High Priority,1,,,
military press,Shoulders,Shoulders,"Triceps, Core",Barbell,Compound,Vertical Push,High Priority,1,,,
pike press,Shoulders,Front Delts,"Triceps, Upper Chest",Bodyweight,Compound,Vertical Push,High Priority,1,,2,
"pike press, elevated",Shoulders,Front Delts,"Triceps, Upper Chest",Bodyweight,Compound,Vertical Push,High Priority,1,,3,
shoulder press,Shoulders,Shoulders,"Triceps, Upper Chest",Bodyweight,Compound,Vertical Push,High Priority,1,,,
kick and punch,Conditioning,Full Body,"Cardio, Coordination",Bodyweight,Dynamic,Complex,High Priority,2,,,
plyo,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,High Priority,3,,,
single leg kick and punch,Conditioning,Full Body,"Balance, Cardio",Bodyweight,Dynamic,Complex,High Priority,2,,,
climb the leg,Core,Abs,Hip Flexors,Bodyweight,Dynamic,Flexion,High Priority,2,,,
cross reach,Core,Obliques,Abs,Bodyweight,Dynamic,Rotation,High Priority,2,,,
mermaid,Core,Obliques,Intercostals,Bodyweight,Stretch,Lateral Flexion,High Priority,4,,,
plank punch,Core,Abs,"Shoulders, Obliques",Bodyweight,Dynamic,Anti-Rotation,High Priority,2,,,
shark bite,Core,Abs,Obliques,Bodyweight,Dynamic,Rotation,High Priority,2,22,,
"side plank, elbow to knee",Core,Obliques,"Abs, Shoulders",Bodyweight,Dynamic,Flexion,High Priority,2,,,
"sphinx, opposite leg and arm hold",Core,Lower Back,"Glutes, Shoulders",Bodyweight,Stability,Anti-Rotation,High Priority,2,,,
tuck up,Core,Abs,Hip Flexors,Bodyweight,Dynamic,Flexion,High Priority,2,,,
squat kick,Legs,Quads,"Hip Flexors, Balance",Bodyweight,Dynamic,Complex,High Priority,2,,,
"pullup, circle up",Back,Lats,"Biceps, Core",Bodyweight,Compound,Vertical Pull,High Priority,1,,,
"pullups, vaulter",Back,Lats,"Biceps, Core",Bodyweight,Compound,Vertical Pull,High Priority,1,,2,
bench press? cable,Chest,Pectorals,"Triceps, Front Delts",Cable,Compound,Horizontal Push,High Priority,1,20x2,,
chest press,Chest,Pectorals,"Triceps, Front Delts",Machine,Compound,Horizontal Push,High Priority,1,110; 100,,"25x2, 50x2, 35x2"
"chest press, smith",Chest,Pectorals,"Triceps, Front Delts",Machine,Compound,Horizontal Push,High Priority,1,"25x2, 50x2, 35x2",,
military pushup burnout,Chest,Pectorals,"Triceps, Front Delts",Bodyweight,Compound,Horizontal Push,High Priority,1,,,
wide pushups 1-1-4-1,Chest,Pectorals,"Triceps, Front Delts",Bodyweight,Compound,Horizontal Push,High Priority,1,,,
L sit hold,Core,Hip Flexors,"Abs, Shoulders",Bodyweight,Isometric,Flexion Hold,High Priority,1,,,
hollow,Core,Abs,Hip Flexors,Bodyweight,Isometric,Anti-Extension,High Priority,1,,,
hollow body,Core,Abs,Hip Flexors,Bodyweight,Isometric,Anti-Extension,High Priority,1,,,
"back lunge, to step up (not fully)",Legs,Quads,"Glutes, Balance",Bodyweight,Compound,Lunge,High Priority,1,15x2,,
elevated lunges,Legs,Quads,"Glutes, Hamstrings",Bodyweight,Compound,Lunge,High Priority,1,23.6x2,,
side lunges,Legs,Quads,"Adductors, Glutes",Bodyweight,Compound,Lunge,High Priority,1,20,,23lbs
single leg bench squat,Legs,Quads,"Glutes, Balance",Bodyweight,Compound,Squat,High Priority,1,,,
transverse lunges,Legs,Quads,"Adductors, Glutes",Bodyweight,Compound,Lunge,High Priority,1,25,,
transvese lunges,Legs,Quads,"Adductors, Glutes",Bodyweight,Compound,Lunge,High Priority,1,20x2,3,25
barbell high pull,Shoulders,Traps,"Delts, Upper Back",Barbell,Compound,Olympic Pull,High Priority,1,45x2,,
"shoulder press, Hammer Strength",Shoulders,Shoulders,Triceps,Machine,Compound,Vertical Push,High Priority,1,,,
triceps,Arms,Triceps,,Bodyweight,Isolation,Extension,Medium Priority,2,,,
Prone W overhead press,Shoulders,Rear Delts,"Upper Back, Traps",Bodyweight,Isolation,Raise,Medium Priority,2,,,
"pushup, side to side",Chest,Pectorals,"Triceps, Core",Bodyweight,Dynamic,Horizontal Push,Medium Priority,1,,,
"pushups, side to side",Chest,Pectorals,"Triceps, Core",Bodyweight,Dynamic,Horizontal Push,Medium Priority,1,,,
vaulter pushups,Chest,Pectorals,"Triceps, Core",Bodyweight,Dynamic,Horizontal Push,Medium Priority,1,,,
flying runner,Conditioning,Legs,"Cardio, Hip Flexors",Bodyweight,Dynamic,Run,Medium Priority,1,,,
rope,Conditioning,Full Body,"Cardio, Shoulders",Rope,Dynamic,Wave,Medium Priority,1,20s,,
side skater,Conditioning,Legs,"Cardio, Balance",Bodyweight,Plyometric,Jump,Medium Priority,2,,,
skater,Conditioning,Legs,"Cardio, Balance",Bodyweight,Plyometric,Jump,Medium Priority,2,,,
"Leg lift, hanging",Core,Abs,"Hip Flexors, Grip",Bodyweight,Dynamic,Flexion,Medium Priority,1,,,
curl back,Core,Abs,Hip Flexors,Bodyweight,Dynamic,Flexion,Medium Priority,1,,1,
extended plank,Core,Abs,Shoulders,Bodyweight,Isometric,Anti-Extension,Medium Priority,1,,,
hollow body rock,Core,Abs,Hip Flexors,Bodyweight,Dynamic,Anti-Extension,Medium Priority,1,,,
"plank to pike, to plank, wide leg",Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Flexion,Medium Priority,1,,,
"plank to side plank, knee to elbow",Core,Obliques,"Abs, Shoulders",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
"plank, arm reach",Core,Abs,Shoulders,Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"plank, opposite arm and leg hold",Core,Abs,"Lower Back, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"plank, opposite knee to elbow, to sphinx, same knee to elbow",Core,Obliques,"Abs, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
reach and cross,Core,Obliques,Abs,Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
reverse crunches,Core,Lower Abs,Hip Flexors,Bodyweight,Dynamic,Flexion,Medium Priority,1,,,
reverse plank marching,Core,Glutes,"Lower Back, Hamstrings",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
"reverse plank, leg lift",Core,Glutes,"Lower Back, Hamstrings",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
"side plank hold, legs apart",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
side plank with hip dip,Core,Obliques,"Shoulders, Hips",Bodyweight,Dynamic,Lateral Flexion,Medium Priority,1,,1,
"side plank, leg lift, feet elevated",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Dynamic,Abduction,Medium Priority,1,,,
"side plank, legs apart",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
"side plank, legs apart hold",Core,Obliques,"Hip Abductors, Shoulders",Bodyweight,Isometric,Anti-Lateral Flexion,Medium Priority,1,,,
"side plank, tap front and back",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"side plank, toe tap on front and back",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
single arm reach,Core,Core,Shoulders,Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
single leg sphinx,Core,Abs,"Hip Flexors, Lower Back",Bodyweight,Stability,Anti-Extension,Medium Priority,1,,,
sliding plank,Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Anti-Extension,Medium Priority,1,,,
sphinx - same side knee to elbow,Core,Obliques,"Abs, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,1,
"sphinx, opposite arm and leg hold",Core,Lower Back,"Glutes, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
"sphinx, single arm and leg hold",Core,Lower Back,"Glutes, Shoulders",Bodyweight,Stability,Anti-Rotation,Medium Priority,1,,,
star fish,Core,Abs,"Obliques, Hip Flexors",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"straight arm hanging, legs circle up",Core,Abs,"Grip, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
superman rock,Core,Lower Back,"Glutes, Shoulders",Bodyweight,Dynamic,Extension,Medium Priority,1,,,
plank to lunge,Full Body,Core,"Legs, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"plank, opposite knee to elbow, pushup",Full Body,Core,"Chest, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
adductor pull,Legs,Adductors,Inner Thigh,Bodyweight,Dynamic,Adduction,Medium Priority,1,,,
barbell RDL hold,Legs,Hamstrings,"Glutes, Lower Back",Barbell,Isometric,Hip Hinge,Medium Priority,1,10x2?,,25x2 RDL
"barbell RDL, hold",Legs,Hamstrings,"Glutes, Lower Back",Barbell,Isometric,Hip Hinge,Medium Priority,1,,,
glute thrust,Legs,Glutes,Hamstrings,Bodyweight,Isolation,Hip Extension,Medium Priority,1,,,
"side lunge, leg lift",Legs,Quads,"Adductors, Hip Abductors",Bodyweight,Dynamic,Complex,Medium Priority,1,23,,
single leg bridge,Legs,Glutes,"Hamstrings, Lower Back",Bodyweight,Isolation,Hip Extension,Medium Priority,1,12,,
"single leg squat, hand reach opposite leg/foot",Legs,Quads,"Glutes, Balance",Bodyweight,Dynamic,Squat,Medium Priority,1,,,
squat to lunges,Legs,Quads,"Glutes, Hamstrings",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
swimmer's overhead press,Shoulders,Shoulders,"Upper Back, Traps",Bodyweight,Dynamic,Press,Medium Priority,1,15x2,,
"burpee with pushup, jump and reach",Conditioning,Full Body,Cardio,Bodyweight,Plyometric,Complex,Medium Priority,1,,,
sled push,Conditioning,Legs,"Full Body, Power",Sled,Push,Push,Medium Priority,1,300,,
DB fly,Chest,Pectorals,Front Delts,Dumbbell,Isolation,Fly,Medium Priority,1,15x2,3,
chest fly,Chest,Pectorals,Front Delts,Bodyweight,Isolation,Fly,Medium Priority,1,25x2,,
pectoral,Chest,Pectorals,Front Delts,Bodyweight,Isolation,Fly,Medium Priority,1,,,
straight leg kick-up,Conditioning,Legs,"Hip Flexors, Core",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
straight leg kickup,Conditioning,Legs,"Hip Flexors, Core",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
circle up,Core,Abs,"Obliques, Hip Flexors",Bodyweight,Dynamic,Rotation,Medium Priority,1,,,
"side plank, foot tap front and back, bosu ball",Core,Obliques,"Hip Flexors, Shoulders",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
"single leg plank, up and out, bosu ball",Core,Abs,"Shoulders, Hip Flexors",Bodyweight,Dynamic,Complex,Medium Priority,1,,,
adductor,Legs,Adductors,Inner Thigh,Bodyweight,Isolation,Adduction,Medium Priority,1,140; 130; 120,3,
leg extension,Legs,Quads,,Machine,Isolation,Knee Extension,Medium Priority,1,,,
"leg extension, 1-1-4-1",Legs,Quads,,Machine,Isolation,Knee Extension,Medium Priority,1,110; 120,,
slient single leg balance,Legs,Balance,Stabilizers,Bodyweight,Stability,Balance,Medium Priority,1,,,
delt rear fly,Shoulders,Rear Delts,Upper Back,Bodyweight,Isolation,Fly,Medium Priority,1,,,
"face pull, cable",Shoulders,Rear Delts,"Traps, Rhomboids",Cable,Isolation,Pull,Medium Priority,1,40,3,
front and lateral raises,Shoulders,Shoulders,Traps,Bodyweight,Isolation,Raise,Medium Priority,1,10x2,,
burpee without pushup,Conditioning,Full Body,Cardio,Bodyweight,Plyometric,Complex,Accessory,1,,,
diamond jump,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
"jump to plank, pushup to side plank, jump back to standing",Conditioning,Full Body,"Cardio, Core",Bodyweight,Complex,Complex,Accessory,1,,,
ply:,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,3min,,
plyo:,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
tuck jump,Conditioning,Legs,"Power, Cardio",Bodyweight,Plyometric,Jump,Accessory,1,,,
RDL review,Legs,Hamstrings,Glutes,Barbell,Technique,Hip Hinge,Accessory,1,,,
"bulgarian split squat, plyo",Legs,Quads,"Glutes, Power",Bodyweight,Plyometric,Jump,Accessory,1,,3,
lunge squat plyo,Legs,Quads,"Glutes, Power",Bodyweight,Plyometric,Jump,Accessory,1,,3,
side/transverse lunge jump,Legs,Quads,"Adductors, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
squat hop,Legs,Quads,"Calves, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
squat hops,Legs,Quads,"Calves, Power",Bodyweight,Plyometric,Jump,Accessory,1,,,
"warrior 3, arms back, by side, front",Mobility,Balance,"Glutes, Core",Bodyweight,Balance,Balance,Accessory,1,,,
"triceps, cable",Arms,Triceps,,Cable,Isolation,Extension,Accessory,1,,,barbell rdl tempo
upright hammer curl,Arms,Biceps,"Brachialis, Forearms",Dumbbell,Isolation,Curl,Accessory,1,20x2,3,
bosu ham,Legs,Hamstrings,"Glutes, Balance",Bodyweight,Isolation,Curl,Accessory,1,,,
ten two,Conditioning,Full Body,Cardio,Bodyweight,Complex,Complex,Accessory,1,,,
Day,Invalid,N/A,,N/A,N/A,N/A,Accessory,1,,,
downward dog on yoga ball,Mobility,Shoulders,"Hamstrings, Core",Bodyweight,Stretch,Stretch,Accessory,1,,,
